,PLAYER,FPTS/G,FPTS/G 22,FPTS 22
1,Josh Allen (BUF) ,24.6,21.69661589980543,368.84
2,Justin Herbert (LAC) ,23.3,20.861757931705863,354.65
3,Tom Brady (TB) ,22.7,20.47643886950606,348.1
4,Kyler Murray (ARI) ,22.2,20.15533965100623,342.64
5,Patrick Mahomes II (KC) ,22.0,20.026899963606297,340.46
6,Jalen Hurts (PHI) ,21.4,19.641580901406495,333.91
7,Lamar Jackson (BAL) ,21.1,19.4489213703066,330.63
8,Aaron Rodgers (GB) ,21.0,19.38470152660663,329.54
9,Dak Prescott (DAL) ,20.7,19.192041995506727,326.26
10,Joe Burrow (CIN) ,20.5,19.063602308106795,324.08
11,Matthew Stafford (LAR) ,20.4,18.99938246440683,322.99
12,Kirk Cousins (MIN) ,19.2,18.228744340007232,309.89
13,Russell Wilson (DEN) ,17.8,17.329666528207696,294.6
14,Jameis Winston (NO) ,17.2,16.944347466007898,288.05
15,Nick Foles (IND) ,16.8,16.687468091208032,283.69
16,Ryan Tannehill (TEN) ,16.6,16.5590284038081,281.5
17,Jimmy Garoppolo (SF) ,16.0,16.173709341608294,274.95
18,Derek Carr (LV) ,15.9,16.109489497908328,273.86
19,Daniel Jones (NYG) ,15.8,16.04526965420836,272.77
20,Carson Wentz (WAS) ,15.6,15.916829966808429,270.59
21,Trevor Siemian (CHI) ,15.5,15.852610123108462,269.49
22,Teddy Bridgewater (MIA) ,15.0,15.531510904608629,264.04
23,Taylor Heinicke (WAS) ,14.8,15.403071217208696,261.85
24,Tua Tagovailoa (MIA) ,14.7,15.338851373508728,260.76
25,Jared Goff (DET) ,14.5,15.210411686108795,258.58
26,Tyrod Taylor (NYG) ,14.5,15.210411686108795,258.58
27,Ben Roethlisberger (FA) ,14.3,15.081971998708863,256.39
28,Sam Darnold (CAR) ,14.2,15.017752155008894,255.3
29,Mac Jones (NE) ,14.0,14.889312467608962,253.12
30,Baker Mayfield (CAR) ,13.8,14.760872780209029,250.93
31,Matt Ryan (IND) ,13.8,14.760872780209029,250.93
32,Geno Smith (SEA) ,13.8,14.760872780209029,250.93
33,Mike White (NYJ) ,13.0,14.247114030609296,242.2
34,Sean Mannion (MIN) ,13.0,14.247114030609296,242.2
35,Davis Mills (HOU) ,12.8,14.118674343209362,240.02
36,Trevor Lawrence (JAC) ,12.7,14.054454499509395,238.93
37,Zach Wilson (NYJ) ,12.5,13.926014812109463,236.74
38,Tyler Huntley (BAL) ,12.4,13.861794968409495,235.65
39,Josh Johnson (DEN) ,12.1,13.669135437309595,232.38
40,Joe Flacco (NYJ) ,11.9,13.540695749909663,230.19
41,Andy Dalton (NO) ,11.6,13.348036218809762,226.92
42,Gardner Minshew II (PHI) ,11.5,13.283816375109796,225.82
43,Cam Newton (FA) ,11.4,13.21959653140983,224.73
44,Justin Fields (CHI) ,11.4,13.21959653140983,224.73
45,Trey Lance (SF) ,11.2,13.091156844009895,222.55
46,Taysom Hill (NO) ,10.2,12.448958407010227,211.63
47,Nick Mullens (LV) ,9.9,12.256298875910328,208.36
48,Mason Rudolph (PIT) ,9.7,12.127859188510396,206.17
49,Drew Lock (SEA) ,8.8,11.549880595210695,196.35
50,Garrett Gilbert (FA) ,7.8,10.907682158211028,185.43
51,Tim Boyle (DET) ,7.6,10.779242470811095,183.25
52,Jacoby Brissett (CLE) ,6.9,10.329703564911327,175.6
53,Mike Glennon (FA) ,6.8,10.26548372121136,174.51
54,Cooper Rush (DAL) ,6.3,9.944384502711529,169.05
55,Case Keenum (BUF) ,5.9,9.687505127911662,164.69
56,Colt McCoy (ARI) ,5.3,9.302186065711862,158.14
57,Jake Fromm (FA) ,4.6,8.852647159812093,150.5
58,Kyle Allen (HOU) ,4.0,8.467328097612294,143.94
59,Ian Book (NO) ,4.0,8.467328097612294,143.94
60,Jordan Love (GB) ,4.0,8.467328097612294,143.94
61,P.J. Walker (CAR) ,3.4,8.082009035412494,137.39
62,Brandon Allen (CIN) ,2.8,7.696689973212694,130.84
63,Brian Hoyer (NE) ,2.5,7.504030442112794,127.57
64,Marcus Mariota (ATL) ,2.1,7.247151067312927,123.2
65,Mitchell Trubisky (PIT) ,1.8,7.0544915362130265,119.93
66,Chris Streveler (FA) ,1.0,6.540732786613294,111.19
67,Chad Henne (KC) ,0.8,6.41229309921336,109.01
68,C.J. Beathard (JAC) ,0.8,6.41229309921336,109.01
69,Ryan Fitzpatrick (FA) ,0.7,6.348073255513393,107.92
70,David Blough (DET) ,0.6,6.283853411813427,106.83
71,Blaine Gabbert (TB) ,0.3,6.091193880713527,103.55
72,Sam Ehlinger (IND) ,0.3,6.091193880713527,103.55
73,Nathan Peterman (CHI) ,0.2,6.02697403701356,102.46
74,Kellen Mond (MIN) ,0.1,5.962754193313593,101.37
75,Brian Brohm (BUF) ,0.0,5.898534349613627,100.28
76,Jake Browning (CIN) ,0.0,5.898534349613627,100.28
77,Kenny Pickett (PIT) ,0.0,5.898534349613627,100.28
78,Cole Kelley (WAS) ,0.0,5.898534349613627,100.28
79,Chase Garbers (LV) ,0.0,5.898534349613627,100.28
80,Erik Ainge (NYJ) ,0.0,5.898534349613627,100.28
81,Hunter Cantwell (BAL) ,0.0,5.898534349613627,100.28
82,Ben Chappell (WAS) ,0.0,5.898534349613627,100.28
83,Adam Froman (ATL) ,0.0,5.898534349613627,100.28
84,Trace McSorley (ARI) ,0.0,5.898534349613627,100.28
85,Keith Null (CAR) ,0.0,5.898534349613627,100.28
86,Brett Ratliff (TEN) ,0.0,5.898534349613627,100.28
87,Deshaun Watson (CLE) ,0.0,5.898534349613627,100.28
88,Joshua Dobbs (CLE) ,0.0,5.898534349613627,100.28
89,Nate Sudfeld (SF) ,0.0,5.898534349613627,100.28
90,Matt Corral (CAR) ,0.0,5.898534349613627,100.28
91,Brett Rypien (DEN) ,0.0,5.898534349613627,100.28
92,Easton Stick (LAC) ,0.0,5.898534349613627,100.28
93,Danny Etling (GB) ,0.0,5.898534349613627,100.28
94,Kevin Hogan (HOU) ,0.0,5.898534349613627,100.28
95,Matt Barkley (BUF) ,0.0,5.898534349613627,100.28
96,Ryan Griffin (TB) ,0.0,5.898534349613627,100.28
97,Brett Smith (TB) ,0.0,5.898534349613627,100.28
98,Jeff Driskel (HOU) ,0.0,5.898534349613627,100.28
99,Brett Hundley (BAL) ,0.0,5.898534349613627,100.28
100,Will Grier (DAL) ,0.0,5.898534349613627,100.28
101,Anthony Brown (BAL) ,0.0,5.898534349613627,100.28
102,Dustin Crum (KC) ,0.0,5.898534349613627,100.28
103,Jack Coan (IND) ,0.0,5.898534349613627,100.28
104,Stone Smartt (LAC) ,0.0,5.898534349613627,100.28
105,Jared Bernhardt (ATL) ,0.0,5.898534349613627,100.28
106,Chris Oladokun (PIT) ,0.0,5.898534349613627,100.28
107,Jake Luton (JAC) ,0.0,5.898534349613627,100.28
108,Bryce Perkins (LAR) ,0.0,5.898534349613627,100.28
109,Shane Buechele (KC) ,0.0,5.898534349613627,100.28
110,Jacob Eason (SEA) ,0.0,5.898534349613627,100.28
111,Jarrett Stidham (LV) ,0.0,5.898534349613627,100.28
112,Bailey Zappe (NE) ,0.0,5.898534349613627,100.28
113,Desmond Ridder (ATL) ,0.0,5.898534349613627,100.28
114,Reid Sinnett (PHI) ,0.0,5.898534349613627,100.28
115,John Lovett (MIA) ,0.0,5.898534349613627,100.28
116,Ben DiNucci (DAL) ,0.0,5.898534349613627,100.28
117,EJ Perry (JAC) ,0.0,5.898534349613627,100.28
118,Malik Willis (TEN) ,0.0,5.898534349613627,100.28
119,Jarrett Guarantano (ARI) ,0.0,5.898534349613627,100.28
120,Brandon Peters (LAC) ,0.0,5.898534349613627,100.28
121,Skylar Thompson (MIA) ,0.0,5.898534349613627,100.28
122,Armani Rogers (WAS) ,0.0,5.898534349613627,100.28
123,Sam Howell (WAS) ,0.0,5.898534349613627,100.28
124,Carson Strong (PHI) ,0.0,5.898534349613627,100.28
125,Brock Purdy (SF) ,0.0,5.898534349613627,100.28
126,Kyle Trask (TB) ,0.0,5.898534349613627,100.28
127,Kurt Benkert (FA) ,-0.1,5.83431450591366,99.18
128,Feleipe Franks (ATL) ,-0.1,5.83431450591366,99.18
129,Chase Daniel (LAC) ,-0.2,5.770094662213693,98.09
130,Logan Woodside (TEN) ,-0.2,5.770094662213693,98.09
131,Davis Webb (NYG) ,-0.3,5.705874818513727,97.0
132,Josh Rosen (FA) ,-0.4,5.64165497481376,95.91
133,John Wolford (LAR) ,-0.5,5.577435131113793,94.82
