,PLAYER,FPTS/G,FPTS/G 22,FPTS 22
1,Derrick Henry (TEN) ,21.9,19.09540076398491,324.62
2,Jonathan Taylor (IND) ,19.6,17.29665102763001,294.04
3,Austin Ekeler (LAC) ,17.1,15.341488270722508,260.81
4,Joe Mixon (CIN) ,15.4,14.011977596025403,238.2
5,James Conner (ARI) ,14.7,13.464532024091305,228.9
6,Alvin Kamara (NO) ,14.4,13.229912493262404,224.91
7,Nick Chubb (CLE) ,14.0,12.917086452157204,219.59
8,Najee Harris (PIT) ,13.3,12.369640880223102,210.28
9,Leonard Fournette (TB) ,13.3,12.369640880223102,210.28
10,Dalvin Cook (MIN) ,13.3,12.369640880223102,210.28
11,Christian McCaffrey (CAR) ,12.9,12.056814839117902,204.97
12,Damien Harris (NE) ,12.8,11.978608328841602,203.64
13,Elijah Mitchell (SF) ,12.2,11.509369267183803,195.66
14,Ezekiel Elliott (DAL) ,12.1,11.4311627569075,194.33
15,Aaron Jones (GB) ,11.8,11.196543226078603,190.34
16,Antonio Gibson (WAS) ,11.7,11.1183367158023,189.01
17,Rashaad Penny (SEA) ,11.6,11.040130205526001,187.68
18,Josh Jacobs (LV) ,11.5,10.961923695249702,186.35
19,Cordarrelle Patterson (ATL) ,11.4,10.883717184973403,185.02
20,D'Andre Swift (DET) ,11.3,10.805510674697103,183.69
21,Darrell Henderson Jr. (LAR) ,11.2,10.7273041644208,182.36
22,Kareem Hunt (CLE) ,11.0,10.570891143868202,179.71
23,Duke Johnson Jr. (BUF) ,11.0,10.570891143868202,179.71
24,David Montgomery (CHI) ,11.0,10.570891143868202,179.71
25,Chris Carson (SEA) ,10.5,10.179858592486703,173.06
26,Melvin Gordon III (DEN) ,10.5,10.179858592486703,173.06
27,James Robinson (JAC) ,10.2,9.945239061657801,169.07
28,Clyde Edwards-Helaire (KC) ,9.8,9.632413020552601,163.75
29,Javonte Williams (DEN) ,9.5,9.3977934897237,159.76
30,D'Onta Foreman (CAR) ,9.4,9.3195869794474,158.43
31,Devin Singletary (BUF) ,9.3,9.241380469171101,157.1
32,AJ Dillon (GB) ,8.9,8.928554428065901,151.79
33,Darrel Williams (ARI) ,8.8,8.850347917789602,150.46
34,Jordan Howard (FA) ,8.6,8.693934897237,147.8
35,Michael Carter (NYJ) ,8.5,8.6157283869607,146.47
36,Chase Edmonds (MIA) ,8.4,8.537521876684401,145.14
37,Rhamondre Stevenson (NE) ,8.4,8.537521876684401,145.14
38,Tony Pollard (DAL) ,8.2,8.3811088561318,142.48
39,Boston Scott (PHI) ,7.8,8.068282815026599,137.16
40,Saquon Barkley (NYG) ,7.7,7.9900763047503,135.83
41,J.D. McKissic (WAS) ,7.7,7.9900763047503,135.83
42,Miles Sanders (PHI) ,7.6,7.911869794474,134.5
43,Sony Michel (MIA) ,7.4,7.7554567739214,131.84
44,Myles Gaskin (MIA) ,7.3,7.677250263645099,130.51
45,Jamaal Williams (DET) ,7.2,7.5990437533688,129.18
46,Chuba Hubbard (CAR) ,7.0,7.442630732816199,126.52
47,Devonta Freeman (FA) ,7.0,7.442630732816199,126.52
48,Dontrell Hilliard (TEN) ,6.7,7.2080112019873,122.54
49,Latavius Murray (FA) ,6.7,7.2080112019873,122.54
50,D'Ernest Johnson (CLE) ,6.5,7.0515981814346995,119.88
51,Devontae Booker (FA) ,6.5,7.0515981814346995,119.88
52,James White (NE) ,6.4,6.973391671158399,118.55
53,Ito Smith (FA) ,6.4,6.973391671158399,118.55
54,Zack Moss (BUF) ,6.3,6.895185160882099,117.22
55,Derrick Gore (KC) ,6.0,6.660565630053199,113.23
56,Kenyan Drake (LV) ,6.0,6.660565630053199,113.23
57,Alexander Mattison (MIN) ,5.9,6.582359119776899,111.9
58,Mark Ingram II (NO) ,5.8,6.504152609500599,110.57
59,Adrian Peterson (FA) ,5.7,6.425946099224299,109.24
60,Kenneth Gainwell (PHI) ,5.7,6.425946099224299,109.24
61,Craig Reynolds (DET) ,5.6,6.347739588947999,107.91
62,Mike Davis (BAL) ,5.5,6.2695330786716985,106.58
