,PLAYER,FPTS/G,FPTS/G 22,FPTS 22
1,Cooper Kupp (LAR) ,17.3,17.16124694521205,291.74
2,Deebo Samuel (SF) ,16.4,16.224596590472018,275.82
3,Davante Adams (LV) ,13.8,13.518717787889727,229.82
4,Ja'Marr Chase (CIN) ,13.2,12.894284218063042,219.2
5,Justin Jefferson (MIN) ,13.1,12.790211956425262,217.43
6,Mike Evans (TB) ,11.8,11.437272555134117,194.43
7,Antonio Brown (FA) ,11.3,10.916911246945213,185.59
8,Tyreek Hill (MIA) ,10.9,10.50062220039409,178.51
9,Stefon Diggs (BUF) ,10.7,10.292477677118528,174.97
10,Mike Williams (LAC) ,10.7,10.292477677118528,174.97
11,Tyler Lockett (SEA) ,10.5,10.084333153842968,171.43
12,Diontae Johnson (PIT) ,10.5,10.084333153842968,171.43
13,DeAndre Hopkins (ARI) ,10.5,10.084333153842968,171.43
14,Tee Higgins (CIN) ,10.4,9.980260892205187,169.66
15,Chris Godwin (TB) ,10.3,9.876188630567407,167.9
16,Robert Woods (TEN) ,10.2,9.772116368929625,166.13
17,Adam Thielen (MIN) ,10.2,9.772116368929625,166.13
18,DK Metcalf (SEA) ,10.0,9.563971845654065,162.59
19,CeeDee Lamb (DAL) ,9.6,9.147682799102942,155.51
20,Keenan Allen (LAC) ,9.5,9.043610537465161,153.74
21,Hunter Renfrow (LV) ,9.2,8.73139375255182,148.43
22,DJ Chark Jr. (DET) ,9.1,8.62732149091404,146.66
23,A.J. Brown (PHI) ,9.1,8.62732149091404,146.66
24,Amari Cooper (CLE) ,9.0,8.52324922927626,144.9
25,Michael Pittman Jr. (IND) ,8.9,8.41917696763848,143.13
26,Jaylen Waddle (MIA) ,8.9,8.41917696763848,143.13
27,Brandin Cooks (HOU) ,8.9,8.41917696763848,143.13
28,Elijah Moore (NYJ) ,8.7,8.211032444362917,139.59
29,Henry Ruggs III (FA) ,8.6,8.106960182725137,137.82
30,Amon-Ra St. Brown (DET) ,8.6,8.106960182725137,137.82
31,Marquise Brown (ARI) ,8.5,8.002887921087357,136.05
32,DJ Moore (CAR) ,8.5,8.002887921087357,136.05
33,Darnell Mooney (CHI) ,8.2,7.690671136174014,130.74
34,Calvin Ridley (ATL) ,8.0,7.482526612898454,127.2
35,Terry McLaurin (WAS) ,8.0,7.482526612898454,127.2
36,Corey Davis (NYJ) ,7.9,7.3784543512606735,125.43
37,Christian Kirk (JAC) ,7.7,7.170309827985113,121.9
38,Russell Gage (TB) ,7.5,6.962165304709551,118.36
39,Kendrick Bourne (NE) ,7.4,6.85809304307177,116.59
40,Cedrick Wilson Jr. (MIA) ,7.3,6.75402078143399,114.82
41,Allen Lazard (GB) ,7.3,6.75402078143399,114.82
42,Tyler Boyd (CIN) ,7.3,6.75402078143399,114.82
43,Chase Claypool (PIT) ,7.2,6.64994851979621,113.05
44,DeVonta Smith (PHI) ,7.2,6.64994851979621,113.05
45,Van Jefferson (LAR) ,7.0,6.441803996520648,109.51
46,Cyril Grayson Jr. (TB) ,6.92,6.358546187210424,108.1
47,Quintez Cephus (DET) ,6.9,6.337731734882868,107.74
48,Jarvis Landry (NO) ,6.8,6.233659473245087,105.97
49,Brandon Aiyuk (SF) ,6.7,6.129587211607307,104.2
50,Jakobi Meyers (NE) ,6.5,5.921442688331745,100.66
51,Tim Patrick (DEN) ,6.5,5.921442688331745,100.66
52,Emmanuel Sanders (BUF) ,6.4,5.817370426693965,98.9
53,K.J. Osborn (MIN) ,6.4,5.817370426693965,98.9
54,A.J. Green (ARI) ,6.4,5.817370426693965,98.9
55,DeVante Parker (NE) ,6.4,5.817370426693965,98.9
56,Marvin Jones Jr. (JAC) ,6.3,5.713298165056184,97.13
57,Michael Gallup (DAL) ,6.3,5.713298165056184,97.13
58,Marquez Callaway (NO) ,6.2,5.6092259034184035,95.36
59,Odell Beckham Jr. (FA) ,6.1,5.505153641780622,93.59
60,Gabriel Davis (BUF) ,6.1,5.505153641780622,93.59
61,Sterling Shepard (NYG) ,6.0,5.401081380142843,91.82
62,Randall Cobb (GB) ,6.0,5.401081380142843,91.82
63,Deonte Harris (NO) ,5.9,5.297009118505063,90.05
64,Danny Amendola (FA) ,5.6,4.98479233359172,84.74
65,Jason Moore Jr. (LAC) ,5.6,4.98479233359172,84.74
66,Tre'Quan Smith (NO) ,5.6,4.98479233359172,84.74
67,Marquez Valdes-Scantling (KC) ,5.5,4.88072007195394,82.97
68,Kristian Wilkerson (NE) ,5.4,4.77664781031616,81.2
69,Courtland Sutton (DEN) ,5.4,4.77664781031616,81.2
70,Donovan Peoples-Jones (CLE) ,5.4,4.77664781031616,81.2
71,Kalif Raymond (DET) ,5.3,4.672575548678378,79.43
72,Byron Pringle (CHI) ,5.3,4.672575548678378,79.43
73,Dante Pettis (CHI) ,5.1,4.464431025402817,75.9
74,T.Y. Hilton (FA) ,5.1,4.464431025402817,75.9
75,Robbie Anderson (CAR) ,5.0,4.360358763765037,74.13
76,Antoine Wesley (ARI) ,4.9,4.2562865021272565,72.36
77,Jamison Crowder (BUF) ,4.9,4.2562865021272565,72.36
78,Julio Jones (FA) ,4.9,4.2562865021272565,72.36
79,Kadarius Toney (NYG) ,4.8,4.152214240489475,70.59
80,Cole Beasley (FA) ,4.8,4.152214240489475,70.59
81,Mecole Hardman (KC) ,4.8,4.152214240489475,70.59
82,Rashod Bateman (BAL) ,4.8,4.152214240489475,70.59
83,Josh Reynolds (DET) ,4.7,4.048141978851695,68.82
84,Bryan Edwards (ATL) ,4.7,4.048141978851695,68.82
85,Jerry Jeudy (DEN) ,4.7,4.048141978851695,68.82
86,Braxton Berrios (NYJ) ,4.7,4.048141978851695,68.82
87,Malik Turner (SF) ,4.7,4.048141978851695,68.82
88,Lil'Jordan Humphrey (NE) ,4.6,3.9440697172139147,67.05
89,Nick Westbrook-Ikhine (TEN) ,4.6,3.9440697172139147,67.05
90,Breshad Perriman (TB) ,4.5,3.8399974555761345,65.28
91,Jauan Jennings (SF) ,4.5,3.8399974555761345,65.28
92,Nelson Agholor (NE) ,4.4,3.735925193938354,63.51
93,Jamal Agnew (JAC) ,4.3,3.631852932300573,61.74
94,Quez Watkins (PHI) ,4.3,3.631852932300573,61.74
95,Jody Fortson (KC) ,4.2,3.5277806706627928,59.97
96,Laquon Treadwell (JAC) ,4.1,3.4237084090250116,58.2
97,Allen Robinson II (LAR) ,4.1,3.4237084090250116,58.2
98,Jalen Guyton (LAC) ,4.1,3.4237084090250116,58.2
99,JuJu Smith-Schuster (KC) ,4.0,3.3196361473872313,56.43
100,DeSean Jackson (FA) ,4.0,3.3196361473872313,56.43
101,Joshua Palmer (LAC) ,4.0,3.3196361473872313,56.43
102,Laviska Shenault Jr. (JAC) ,4.0,3.3196361473872313,56.43
103,Ihmir Smith-Marsette (MIN) ,3.9,3.215563885749451,54.66
