RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN,Year
1,Travis Kelce (KC) ,103,150,"1,336",13.0,43,26,10,0,0,0,1,16,191.6,12.0,100.0%,2018
2,George Kittle (SF) ,88,136,"1,377",15.6,85,40,5,1,10,0,0,16,170.7,10.7,98.9%,2018
3,Zach Ertz (ARI) ,116,156,"1,163",10.0,34,14,8,0,0,0,0,16,164.3,10.3,37.8%,2018
4,Eric Ebron (FA) ,66,110,750,11.4,53,10,13,3,-8,1,1,16,156.2,9.8,0.0%,2018
5,Jared Cook (FA) ,68,101,896,13.2,45,21,6,0,0,0,0,16,125.6,7.9,0.0%,2018
6,Trey Burton (FA) ,54,76,569,10.5,47,10,6,1,2,0,1,16,93.1,5.8,0.0%,2018
7,Austin Hooper (LV) ,71,88,660,9.3,36,10,4,0,0,0,0,16,92.0,5.8,2.3%,2018
8,David Njoku (CLE) ,56,88,639,11.4,66,14,4,0,0,0,0,16,87.9,5.5,92.3%,2018
9,Kyle Rudolph (FA) ,64,82,634,9.9,44,8,4,0,0,0,0,16,87.4,5.5,0.0%,2018
10,O.J. Howard (LV) ,34,48,565,16.6,75,16,5,0,0,0,0,10,86.5,8.7,0.6%,2018
11,Rob Gronkowski (FA) ,47,72,682,14.5,42,13,3,0,0,0,1,13,84.2,6.5,1.2%,2018
12,Vance McDonald (FA) ,50,72,610,12.2,75,12,4,0,0,0,1,15,83.0,5.5,0.0%,2018
13,Evan Engram (JAC) ,45,64,577,12.8,54,18,3,3,36,0,0,11,81.3,7.4,94.5%,2018
14,Jimmy Graham (FA) ,55,89,636,11.6,54,11,2,0,0,0,0,16,75.6,4.7,0.0%,2018
15,Chris Herndon IV (FA) ,39,56,502,12.9,32,10,4,0,0,0,0,16,74.2,4.6,0.0%,2018
16,Mark Andrews (BAL) ,34,50,552,16.2,74,15,3,0,0,0,0,16,73.2,4.6,99.9%,2018
17,Jordan Reed (FA) ,54,84,558,10.3,34,8,2,0,0,0,1,13,65.8,5.1,19.0%,2018
18,Cameron Brate (FA) ,30,49,289,9.6,21,2,6,0,0,0,1,16,62.9,3.9,1.1%,2018
19,C.J. Uzomah (NYJ) ,43,64,439,10.2,29,6,3,0,0,0,0,16,61.9,3.9,0.7%,2018
20,Dallas Goedert (PHI) ,33,44,334,10.1,32,6,4,0,0,0,0,16,57.4,3.6,96.8%,2018
21,Jesse James (NO) ,30,39,423,14.1,51,15,2,0,0,0,0,16,54.3,3.4,0.0%,2018
22,Gerald Everett (LAC) ,33,50,320,9.7,40,6,3,2,16,0,0,16,53.6,3.4,56.9%,2018
23,Greg Olsen (FA) ,27,38,291,10.8,23,2,4,0,0,0,0,9,53.1,5.9,7.0%,2018
24,Benjamin Watson (FA) ,35,46,400,11.4,32,7,2,0,0,0,0,16,52.0,3.3,2.8%,2018
25,Vernon Davis (FA) ,25,36,367,14.7,53,14,2,0,0,0,0,14,50.7,3.6,1.6%,2018
26,Blake Jarwin (FA) ,27,36,307,11.4,39,5,3,0,0,0,0,16,48.7,3.0,4.0%,2018
27,Antonio Gates (FA) ,28,45,333,11.9,27,5,2,0,0,0,1,16,47.3,3.0,0.2%,2018
28,Jordan Thomas (CAR) ,20,27,215,10.8,39,3,4,0,0,0,0,16,45.5,2.8,0.0%,2018
29,Ian Thomas (CAR) ,36,49,333,9.3,31,5,2,0,0,0,0,16,45.3,2.8,0.1%,2018
30,Nick Vannett (FA) ,29,43,269,9.3,32,2,3,0,0,0,0,15,44.9,3.0,0.0%,2018
31,Jonnu Smith (ATL) ,20,30,258,12.9,61,6,3,0,0,0,0,13,43.8,3.4,0.8%,2018
32,Tyler Higbee (LAR) ,24,34,292,12.2,36,5,2,0,0,0,0,16,41.2,2.6,72.6%,2018
33,Ricky Seals-Jones (FA) ,34,69,343,10.1,40,9,1,0,0,0,0,15,40.3,2.7,0.0%,2018
34,Jeff Heuerman (FA) ,31,48,281,9.1,36,3,2,0,0,0,0,11,40.1,3.6,0.0%,2018
35,Rhett Ellison (FA) ,25,34,272,10.9,29,2,1,0,0,0,0,14,35.2,2.5,0.0%,2018
36,Jack Doyle (FA) ,26,33,245,9.4,20,1,2,0,0,0,1,6,34.5,5.8,2.0%,2018
37,Demetrius Harris (FA) ,12,25,164,13.7,35,3,3,0,0,0,0,15,34.4,2.3,0.0%,2018
38,Ed Dickson (FA) ,12,13,143,11.9,42,4,3,1,9,0,0,10,33.2,3.3,0.0%,2018
39,Levine Toilolo (FA) ,21,24,263,12.5,39,3,1,0,0,0,0,16,32.3,2.0,0.0%,2018
40,Matt LaCosse (FA) ,24,37,250,10.4,44,3,1,0,0,0,0,15,31.0,2.1,0.0%,2018
