RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
2,Alvin Kamara (NO) ,187,932,5,49,0,16,83,107,756,9.1,5,0,15,294.8,19.7,336.3,22.42,99.90%
1,Derrick Henry (TEN) ,378,"2,027",5.4,94,0,17,19,31,114,6,0,2,16,314.1,19.6,323.6,20.23,100.00%
3,Dalvin Cook (MIN) ,312,"1,557",5,70,0,16,44,54,361,8.2,1,3,14,293.8,21,315.8,22.56,100.00%
6,David Montgomery (CHI) ,247,"1,070",4.3,80,0,8,54,68,438,8.1,2,1,15,210.8,14.1,237.8,15.85,96.70%
5,Aaron Jones (GB) ,201,"1,104",5.5,77,0,9,47,63,355,7.6,2,0,14,211.9,15.1,235.4,16.81,99.80%
4,Jonathan Taylor (IND) ,232,"1,169",5,62,0,11,36,40,299,8.3,1,1,15,216.8,14.5,234.8,15.65,99.80%
7,James Robinson (JAC) ,240,"1,070",4.5,47,0,7,49,60,344,7,3,1,14,201.4,14.4,225.9,16.14,93.00%
8,Josh Jacobs (LV) ,273,"1,065",3.9,28,0,12,33,45,238,7.2,0,2,15,198.3,13.2,214.8,14.32,97.80%
9,Nick Chubb (CLE) ,190,"1,067",5.6,59,0,12,16,18,150,9.4,0,1,12,191.7,16,199.7,16.64,99.90%
10,Kareem Hunt (CLE) ,198,841,4.2,33,0,6,38,51,304,8,5,0,16,180.5,11.3,199.5,12.47,93.50%
11,Ezekiel Elliott (DAL) ,244,979,4,31,0,6,52,71,338,6.5,2,5,15,171.7,11.4,197.7,13.18,99.80%
14,Antonio Gibson (WAS) ,170,795,4.7,40,0,11,36,44,247,6.9,0,2,14,166.2,11.9,184.2,13.16,98.10%
13,Melvin Gordon III (DEN) ,215,986,4.6,65,0,9,32,44,158,4.9,1,4,15,166.4,11.1,182.4,12.16,89.30%
12,Kenyan Drake (ARI) ,239,955,4,69,0,10,25,31,137,5.5,0,1,15,167.2,11.1,179.7,11.98,82.10%
18,Mike Davis (CAR) ,165,642,3.9,25,0,6,59,70,373,6.3,2,1,15,147.5,9.8,177,11.8,88.70%
15,Ronald Jones II (TB) ,192,978,5.1,98,0,7,28,42,165,5.9,1,2,14,158.3,11.3,172.3,12.31,84.30%
16,Chris Carson (SEA) ,141,681,4.8,29,0,5,37,46,287,7.8,4,0,12,150.8,12.6,169.3,14.11,97.20%
20,D'Andre Swift (DET) ,114,521,4.6,54,0,8,46,57,357,7.8,2,2,13,143.8,11.1,166.8,12.83,98.10%
19,David Johnson (HOU) ,147,691,4.7,48,0,6,33,46,314,9.5,2,1,12,146.5,12.2,163,13.58,87.30%
24,Nyheim Hines (IND) ,89,380,4.3,31,0,3,63,76,482,7.7,4,0,16,130.2,8.1,161.7,10.11,68.70%
17,J.K. Dobbins (BAL) ,134,805,6,72,0,9,18,24,120,6.7,0,0,15,150.5,10,159.5,10.63,97.80%
22,Clyde Edwards-Helaire (KC) ,181,803,4.4,31,0,4,36,54,297,8.3,1,0,13,140,10.8,158,12.15,97.90%
21,Miles Sanders (PHI) ,164,867,5.3,82,0,6,28,52,197,7,0,2,12,142.4,11.9,156.4,13.03,98.00%
34,J.D. McKissic (WAS) ,85,365,4.3,17,0,1,80,110,589,7.4,2,1,16,111.4,7,151.4,9.46,46.90%
23,Todd Gurley II (ATL) ,195,678,3.5,35,0,9,25,35,164,6.6,0,0,15,138.2,9.2,150.7,10.05,13.20%
25,James Conner (PIT) ,169,721,4.3,59,0,6,35,43,215,6.1,0,0,13,129.6,10,147.1,11.32,81.80%
27,Myles Gaskin (MIA) ,142,584,4.1,26,0,3,41,47,388,9.5,2,2,10,123.2,12.3,143.7,14.37,93.70%
30,Chase Edmonds (ARI) ,97,448,4.6,32,0,1,53,67,402,7.6,4,0,16,115,7.2,141.5,8.84,90.70%
35,Austin Ekeler (LAC) ,116,530,4.6,27,0,1,54,65,403,7.5,2,0,10,111.3,11.1,138.3,13.83,99.10%
26,Jeff Wilson Jr. (SF) ,126,600,4.8,34,0,7,13,28,133,10.2,3,2,12,129.3,10.8,135.8,11.32,24.00%
36,Giovani Bernard (CIN) ,124,416,3.4,15,0,3,47,59,355,7.6,3,1,16,111.1,6.9,134.6,8.41,9.20%
29,Wayne Gallman (NYG) ,147,682,4.6,60,0,6,21,27,114,5.4,0,0,15,115.6,7.7,126.1,8.41,4.10%
32,Latavius Murray (NO) ,146,656,4.5,36,0,4,23,26,176,7.7,1,0,15,113.2,7.5,124.7,8.31,42.30%
37,Devin Singletary (BUF) ,156,687,4.4,51,0,2,38,50,269,7.1,0,1,16,105.6,6.6,124.6,7.79,67.80%
28,Gus Edwards (BAL) ,144,723,5,36,0,6,9,13,129,14.3,0,1,16,119.2,7.5,123.7,7.73,48.40%
31,Darrell Henderson (LAR) ,138,624,4.5,40,0,5,16,24,159,9.9,1,0,15,114.3,7.6,122.3,8.15,39.40%
33,Adrian Peterson (DET) ,156,604,3.9,38,0,7,12,18,101,8.4,0,0,16,112.5,7,118.5,7.41,1.40%
39,Leonard Fournette (TB) ,97,367,3.8,46,0,6,36,47,233,6.5,0,0,13,96,7.4,114,8.77,89.50%
38,Jamaal Williams (GB) ,119,505,4.2,25,0,2,31,35,236,7.6,1,0,14,96.1,6.9,111.6,7.97,43.50%
40,Jerick McKinnon (SF) ,81,319,3.9,55,0,5,33,46,253,7.7,1,0,16,93.2,5.8,109.7,6.86,5.50%
41,Tony Pollard (DAL) ,101,435,4.3,42,0,4,28,40,193,6.9,1,0,16,92.8,5.8,106.8,6.68,46.80%
45,Malcolm Brown (LAR) ,101,419,4.1,19,0,5,23,33,162,7,0,1,16,86.1,5.4,97.6,6.1,3.80%
42,Cam Akers (LAR) ,145,625,4.3,61,0,2,11,14,123,11.2,1,1,12,90.8,7.6,96.3,8.03,98.90%
48,Rex Burkhead (NE) ,67,274,4.1,18,0,3,25,33,192,7.7,3,0,10,82.6,8.3,95.1,9.51,1.30%
43,Zack Moss (BUF) ,112,481,4.3,31,0,4,14,18,95,6.8,1,0,13,87.6,6.7,94.6,7.28,62.70%
46,Frank Gore (NYJ) ,187,653,3.5,17,0,2,16,19,89,5.6,0,1,15,84.2,5.6,92.2,6.15,12.20%
57,James White (NE) ,35,121,3.5,10,0,2,49,62,375,7.7,1,0,14,67.6,4.8,92.1,6.58,23.50%
47,Raheem Mostert (SF) ,104,521,5,80,0,2,16,19,156,9.8,1,1,8,83.7,10.5,91.7,11.46,89.90%
49,Joe Mixon (CIN) ,119,428,3.6,34,0,3,21,26,138,6.6,1,1,6,78.6,13.1,89.1,14.85,98.50%
44,Damien Harris (NE) ,137,691,5,41,0,2,5,7,52,10.4,0,0,10,86.3,8.6,88.8,8.88,74.70%
52,Boston Scott (PHI) ,80,374,4.7,56,0,1,25,36,212,8.5,1,0,16,70.6,4.4,83.1,5.19,4.20%
53,Brian Hill (ATL) ,100,465,4.7,62,0,1,25,30,199,8,0,1,16,70.4,4.4,82.9,5.18,1.20%
51,Christian McCaffrey (CAR) ,59,225,3.8,15,0,5,17,19,149,8.8,1,0,3,73.3,24.4,81.8,27.27,99.90%
50,Alexander Mattison (MIN) ,96,434,4.5,25,0,2,13,15,125,9.6,1,0,13,73.9,5.7,80.4,6.18,35.80%
59,Kalen Ballage (LAC) ,91,303,3.3,17,0,3,29,37,166,5.7,0,0,11,64.9,5.9,79.4,7.22,1.30%
55,Devontae Booker (LV) ,93,423,4.5,43,0,3,17,21,84,4.9,0,0,16,68.7,4.3,77.2,4.83,4.20%
54,Carlos Hyde (SEA) ,81,356,4.4,50,0,4,16,20,93,5.8,0,0,10,68.9,6.9,76.9,7.69,3.80%
60,Kyle Juszczyk (SF) ,17,64,3.8,10,0,2,19,29,202,10.6,4,0,16,62.6,3.9,72.1,4.51,1.40%
56,Sony Michel (NE) ,79,449,5.7,48,0,1,7,9,114,16.3,1,0,9,68.3,7.6,71.8,7.98,9.80%
65,Duke Johnson Jr. (HOU) ,77,235,3.1,23,0,1,28,35,249,8.9,1,2,11,56.4,5.1,70.4,6.4,2.50%
