RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
1,Travis Kelce (KC) ,97,136,"1,229",12.7,47,13,5,1,4,1,1,16,157.3,9.8,205.8,12.86,99.90%
2,Mark Andrews (BAL) ,64,98,852,13.3,51,16,10,0,0,0,1,15,143.2,9.5,175.2,11.68,99.00%
3,George Kittle (SF) ,85,107,"1,053",12.4,61,16,5,5,22,0,0,14,137.5,9.8,180,12.86,99.90%
4,Darren Waller (LV) ,90,117,"1,145",12.7,75,14,3,2,5,0,1,16,131,8.2,176,11,99.80%
5,Zach Ertz (PHI) ,88,135,916,10.4,30,12,6,0,0,0,1,15,127.6,8.5,171.6,11.44,28.40%
6,Jared Cook (NO) ,43,65,705,16.4,61,15,9,0,0,0,0,14,124.5,8.9,146,10.43,30.20%
7,Austin Hooper (ATL) ,75,97,787,10.5,35,8,6,0,0,0,0,13,116.7,9,154.2,11.86,53.50%
8,Hunter Henry (LAC) ,55,76,652,11.9,30,8,5,0,0,0,1,12,95.2,7.9,122.7,10.23,61.40%
9,Tyler Higbee (LAR) ,69,89,734,10.6,33,11,3,0,0,0,0,15,91.4,6.1,125.9,8.39,57.20%
10,Dallas Goedert (PHI) ,58,87,607,10.5,28,8,5,0,0,0,2,15,86.7,5.8,115.7,7.71,93.00%
11,Mike Gesicki (MIA) ,51,89,570,11.2,34,7,5,0,0,0,1,16,85,5.3,110.5,6.91,87.30%
12,Jason Witten (DAL) ,63,83,529,8.4,33,2,4,0,0,0,1,16,76.9,4.8,108.4,6.78,0.10%
13,Darren Fells (HOU) ,34,48,341,10,24,2,7,0,0,0,0,16,76.1,4.8,93.1,5.82,0.60%
14,Kyle Rudolph (MIN) ,39,48,367,9.4,32,3,6,0,0,0,0,16,74.7,4.7,94.2,5.89,1.70%
15,Greg Olsen (CAR) ,52,82,597,11.5,41,6,2,0,0,0,0,14,71.7,5.1,97.7,6.98,3.60%
16,Noah Fant (DEN) ,40,66,562,14.1,75,10,3,3,-12,0,1,16,71,4.4,91,5.69,90.00%
17,Jonnu Smith (TEN) ,35,44,439,12.5,57,8,3,4,78,0,0,16,69.7,4.4,87.2,5.45,69.10%
18,Jack Doyle (IND) ,43,72,448,10.4,23,4,4,0,0,0,0,16,68.8,4.3,90.3,5.64,2.20%
19,Evan Engram (NYG) ,44,68,467,10.6,75,4,3,3,7,0,0,8,65.4,8.2,87.4,10.93,63.90%
20,Ryan Griffin (NYJ) ,34,41,320,9.4,45,4,5,0,0,0,0,13,64,4.9,81,6.23,0.10%
21,Tyler Eifert (CIN) ,43,63,436,10.1,27,4,3,0,0,0,0,16,63.6,4,85.1,5.32,0.60%
22,Jimmy Graham (GB) ,38,60,447,11.8,48,7,3,0,0,0,0,16,62.7,3.9,81.7,5.11,3.90%
23,Eric Ebron (IND) ,31,52,375,12.1,48,4,3,0,0,0,0,11,55.5,5,71,6.45,34.90%
24,Cameron Brate (TB) ,36,55,311,8.6,37,1,4,0,0,0,0,16,55.1,3.4,73.1,4.57,0.70%
25,Blake Jarwin (DAL) ,31,41,365,11.8,42,8,3,0,0,0,0,16,54.5,3.4,70,4.38,22.70%
26,Jordan Akins (HOU) ,36,55,418,11.6,53,4,2,0,0,0,0,16,53.8,3.4,71.8,4.49,1.80%
27,Jacob Hollister (SEA) ,41,59,349,8.5,22,3,3,0,0,0,0,11,52.9,4.8,73.4,6.67,0.60%
