RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
1,Tyreek Hill (KC) ,87,137,"1,479",17,75,27,12,22,151,1,0,16,241,15.1,284.5,17.78,99.90%
2,Antonio Brown (PIT) ,104,169,"1,297",12.5,78,17,15,0,0,0,0,15,219.7,14.6,271.7,18.11,72.90%
3,Davante Adams (GB) ,111,169,"1,386",12.5,57,18,13,0,0,0,0,15,218.6,14.6,274.1,18.27,99.90%
4,DeAndre Hopkins (HOU) ,115,163,"1,572",13.7,49,23,11,1,-7,0,2,16,218.5,13.7,276,17.25,99.90%
5,Julio Jones (ATL) ,113,170,"1,677",14.8,58,24,8,2,12,0,2,16,212.8,13.3,269.3,16.83,98.30%
6,Mike Evans (TB) ,86,139,"1,524",17.7,72,26,8,0,0,0,1,16,198.4,12.4,241.4,15.09,99.10%
7,Adam Thielen (MIN) ,113,153,"1,373",12.2,68,17,9,5,30,0,1,16,194.3,12.1,250.8,15.68,97.40%
8,Michael Thomas (NO) ,125,147,"1,405",11.2,72,17,9,0,0,0,2,16,190.5,11.9,253,15.81,99.20%
9,JuJu Smith-Schuster (PIT) ,111,166,"1,426",12.8,97,18,7,1,13,0,1,16,185.9,11.6,241.4,15.09,92.50%
10,Robert Woods (LAR) ,86,131,"1,219",14.2,39,20,6,19,157,1,0,16,179.6,11.2,222.6,13.91,96.10%
11,Tyler Lockett (SEA) ,57,71,965,16.9,52,17,10,13,69,0,0,16,165.4,10.3,193.9,12.12,96.00%
12,Stefon Diggs (MIN) ,102,148,"1,021",10,75,13,9,10,62,0,0,15,164.3,11,215.3,14.35,99.90%
13,Brandin Cooks (LAR) ,80,116,"1,204",15.1,57,22,5,10,68,1,0,16,163.2,10.2,203.2,12.7,86.50%
14,Keenan Allen (LAC) ,97,137,"1,196",12.3,54,13,6,9,75,0,1,16,163.1,10.2,211.6,13.23,99.20%
15,T.Y. Hilton (IND) ,76,120,"1,270",16.7,68,22,6,0,0,0,0,14,163,11.6,201,14.36,60.50%
16,Odell Beckham Jr. (NYG) ,77,124,"1,052",13.7,51,17,6,5,19,0,1,12,153.4,12.8,191.9,15.99,94.00%
17,Tyler Boyd (CIN) ,76,108,"1,028",13.5,49,21,7,2,3,0,0,14,145.1,10.4,183.1,13.08,86.60%
18,Calvin Ridley (ATL) ,64,92,821,12.8,75,11,10,6,27,0,1,16,142.8,8.9,174.8,10.93,99.70%
19,Amari Cooper (DAL) ,75,107,"1,004",13.4,90,10,7,2,20,0,2,15,140.4,9.4,177.9,11.86,97.50%
20,Mike Williams (LAC) ,43,66,664,15.4,55,11,10,7,28,1,0,16,137.2,8.6,158.7,9.92,64.70%
21,Kenny Golladay (DET) ,70,118,"1,063",15.2,60,19,5,1,8,0,0,15,137.1,9.1,172.1,11.47,94.30%
22,Jarvis Landry (CLE) ,81,149,976,12,51,13,4,3,60,1,1,16,136.1,8.5,176.6,11.04,83.40%
23,Julian Edelman (NE) ,74,108,850,11.5,36,12,6,9,107,0,0,12,133.4,11.1,170.4,14.2,13.90%
24,Emmanuel Sanders (DEN) ,71,98,868,12.2,64,13,4,4,53,1,0,12,127.2,10.6,162.7,13.56,16.00%
25,Chris Godwin (TB) ,59,95,842,14.3,48,10,7,0,0,0,1,16,126.2,7.9,155.7,9.73,97.50%
26,Alshon Jeffery (PHI) ,65,92,843,13,52,9,6,0,0,0,0,13,120.3,9.3,152.8,11.75,0.70%
27,Corey Davis (TEN) ,65,112,891,13.7,51,15,4,6,55,0,0,16,118.6,7.4,151.1,9.44,69.60%
28,Larry Fitzgerald (ARI) ,69,112,734,10.6,37,8,6,0,0,0,0,16,116.7,7.3,151.2,9.45,1.30%
29,Sterling Shepard (NYG) ,66,107,872,13.2,58,12,4,3,33,0,0,16,116.5,7.3,149.5,9.34,24.40%
30,Mohamed Sanu (ATL) ,66,94,838,12.7,44,7,4,7,44,0,1,16,116.4,7.3,149.4,9.34,0.20%
31,Adam Humphries (TB) ,76,105,816,10.7,51,7,5,2,11,0,0,16,112.7,7,150.7,9.42,1.10%
32,DeSean Jackson (TB) ,41,74,774,18.9,75,13,4,6,29,1,0,12,110.3,9.2,130.8,10.9,4.40%
33,Zay Jones (BUF) ,56,102,652,11.6,57,7,7,1,0,0,0,16,109.2,6.8,137.2,8.58,0.10%
34,Golden Tate (PHI) ,74,113,795,10.7,67,9,4,4,34,0,0,15,108.9,7.3,145.9,9.73,1.20%
35,Dede Westbrook (JAC) ,66,101,717,10.9,61,15,5,9,98,0,2,16,107.6,6.7,140.6,8.79,0.60%
36,Robby Anderson (NYJ) ,50,93,752,15,76,10,6,2,-8,0,2,14,106.4,7.6,131.4,9.39,90.00%
37,A.J. Green (CIN) ,46,77,694,15.1,38,12,6,0,0,0,1,9,103.4,11.5,126.4,14.04,24.30%
38,D.J. Moore (CAR) ,55,82,788,14.3,82,9,2,13,172,0,3,16,102,6.4,129.5,8.09,95.30%
39,John Brown (BAL) ,42,97,715,17,71,11,5,3,4,0,0,16,101.9,6.4,122.9,7.68,37.80%
40,Nelson Agholor (PHI) ,64,97,736,11.5,83,10,4,3,32,0,0,16,101.4,6.3,133.4,8.34,40.40%
41,Allen Robinson II (CHI) ,55,94,754,13.7,43,11,4,1,9,0,1,13,98.3,7.6,125.8,9.68,99.10%
42,Curtis Samuel (CAR) ,39,65,494,12.7,53,6,5,8,84,2,1,13,97.8,7.5,117.3,9.02,84.60%
43,Demaryius Thomas (HOU) ,59,89,677,11.5,45,9,5,0,0,0,0,15,97.7,6.5,127.2,8.48,0.10%
44,Josh Gordon (NE) ,41,71,737,18,55,12,4,0,0,0,0,12,97.7,8.1,118.2,9.85,2.80%
45,Kenny Stills (MIA) ,37,64,553,14.9,75,7,6,0,0,0,0,15,97.4,6.5,115.9,7.73,0.60%
46,Tyrell Williams (LAC) ,41,64,653,15.9,75,11,5,2,15,0,0,16,96.8,6.1,117.3,7.33,6.70%
47,Cooper Kupp (LAR) ,40,55,566,14.2,70,9,6,4,25,0,0,8,95.1,11.9,115.1,14.39,94.50%
48,Courtland Sutton (DEN) ,42,84,704,16.8,42,16,4,1,-1,0,0,16,94.3,5.9,115.3,7.21,89.10%
49,Jordy Nelson (LV) ,63,88,739,11.7,66,7,3,1,-2,0,0,15,93.7,6.2,125.2,8.35,0.10%
50,Doug Baldwin (SEA) ,50,73,618,12.4,42,9,5,0,0,0,0,13,91.8,7.1,116.8,8.98,0.00%
51,Antonio Callaway (CLE) ,43,79,586,13.6,71,8,5,2,7,0,1,16,89.3,5.6,110.8,6.93,0.10%
52,Anthony Miller (CHI) ,33,54,423,12.8,55,6,7,6,26,0,0,15,87.2,5.8,103.7,6.91,2.70%
