RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
1,Michael Thomas (NO) ,149,185,"1,725",11.6,49,17,9,1,-9,0,0,16,225.6,14.1,99.20%
2,Chris Godwin (TB) ,86,121,"1,333",15.5,71,25,9,1,8,0,0,14,190.1,13.6,97.50%
3,Kenny Golladay (DET) ,65,116,"1,190",18.3,75,22,11,0,0,0,1,16,183,11.4,94.30%
4,Cooper Kupp (LAR) ,94,134,"1,161",12.4,66,21,10,2,4,0,0,16,176.5,11,94.50%
5,Julio Jones (ATL) ,99,157,"1,394",14.1,54,21,6,2,-3,0,0,15,175.1,11.7,98.30%
6,DeVante Parker (MIA) ,72,128,"1,202",16.7,51,21,9,0,0,0,0,16,174.2,10.9,68.30%
7,Amari Cooper (DAL) ,79,119,"1,189",15.1,53,17,8,1,6,0,0,16,167.5,10.5,97.50%
8,Mike Evans (TB) ,67,118,"1,157",17.3,67,17,8,0,0,0,0,13,165.7,12.7,99.10%
9,DeAndre Hopkins (HOU) ,104,150,"1,165",11.2,43,16,7,2,18,0,0,15,165.5,11,99.90%
10,A.J. Brown (TEN) ,52,84,"1,051",20.2,91,15,8,3,60,1,0,16,165.1,10.3,99.80%
11,Keenan Allen (LAC) ,104,149,"1,199",11.5,45,15,6,3,16,0,0,16,157.5,9.8,99.20%
12,Allen Robinson II (CHI) ,98,154,"1,147",11.7,49,15,7,1,2,0,0,16,156.9,9.8,99.10%
13,Julian Edelman (NE) ,100,153,"1,117",11.2,44,13,6,8,27,0,1,16,156.3,9.8,13.90%
14,Jarvis Landry (CLE) ,83,138,"1,174",14.1,65,20,6,1,10,0,0,16,154.4,9.7,83.40%
15,Tyler Lockett (SEA) ,82,110,"1,057",12.9,44,15,8,4,-5,0,0,16,153.2,9.6,96.00%
16,D.J. Chark Jr. (JAC) ,73,118,"1,008",13.8,69,17,8,2,20,0,0,15,152.8,10.2,89.60%
17,Courtland Sutton (DEN) ,72,124,"1,112",15.4,70,18,6,3,17,0,0,16,150.4,9.4,89.10%
18,Stefon Diggs (MIN) ,63,94,"1,130",17.9,66,20,6,5,61,0,3,15,149.1,9.9,99.90%
